Strain,Cu_level,Macronutrient,Quota_mol_cell,Quota_fmol_cell
Pseudoalteromonas sp (P2),25,Sulfur,2.13E-16,0.212909411
Pseudoalteromonas sp (P2),25,Sulfur,2.97E-16,0.296969226
Pseudoalteromonas sp (P2),25,Sulfur,NA,NA
Dokonia sp,0.1,S:P ratio,0.606245767,0.606245767
Dokonia sp,0.1,S:P ratio,0.690763206,0.690763206
Dokonia sp,0.1,S:P ratio,1.039280168,1.039280168
Dokonia sp,0.1,S:P ratio,0.763005553,0.763005553
Dokonia sp,2,S:P ratio,0.756450206,0.756450206
Dokonia sp,2,S:P ratio,1.909284508,1.909284508
Dokonia sp,2,S:P ratio,0.729667699,0.729667699
Dokonia sp,2,S:P ratio,0.901835443,0.901835443
Dokonia sp,2,S:P ratio,0.734335742,0.734335742
Dokonia sp,2,S:P ratio,1.501696277,1.501696277
Dokonia sp,10,S:P ratio,1.032839627,1.032839627
Dokonia sp,10,S:P ratio,0.867850503,0.867850503
Dokonia sp,10,S:P ratio,0.658338813,0.658338813
Dokonia sp,10,S:P ratio,0.937598745,0.937598745
Dokonia sp,10,S:P ratio,0.305284804,0.305284804
Dokonia sp,10,S:P ratio,1.966097101,1.966097101
Dokonia sp,10,S:P ratio,0.46115755,0.46115755
Dokonia sp,25,S:P ratio,0.558963762,0.558963762
Dokonia sp,25,S:P ratio,0.465001868,0.465001868
Dokonia sp,25,S:P ratio,0.680919519,0.680919519
Dokonia sp,25,S:P ratio,0.727655021,0.727655021
Dokonia sp,25,S:P ratio,1.143474883,1.143474883
Dokonia sp,25,S:P ratio,1.401418467,1.401418467
Dokonia sp,50,S:P ratio,0.57532829,0.57532829
Dokonia sp,50,S:P ratio,0.670313693,0.670313693
Dokonia sp,50,S:P ratio,0.579196143,0.579196143
R.pomeroyi,0.1,S:P ratio,NA,NA
R.pomeroyi,0.1,S:P ratio,0.765585427,0.765585427
R.pomeroyi,0.1,S:P ratio,0.869193693,0.869193693
R.pomeroyi,2,S:P ratio,0.729878565,0.729878565
R.pomeroyi,2,S:P ratio,1.766841797,1.766841797
R.pomeroyi,2,S:P ratio,0.790798611,0.790798611
R.pomeroyi,2,S:P ratio,1.039123271,1.039123271
R.pomeroyi,10,S:P ratio,0.472549431,0.472549431
R.pomeroyi,10,S:P ratio,0.664122027,0.664122027
R.pomeroyi,10,S:P ratio,0.610349319,0.610349319
R.pomeroyi,50,S:P ratio,0.836632898,0.836632898
R.pomeroyi,50,S:P ratio,0.682090786,0.682090786
R.pomeroyi,50,S:P ratio,0.604456318,0.604456318
Pseudoalteromonas sp (26),0.1,S:P ratio,0.352323849,0.352323849
Pseudoalteromonas sp (26),0.1,S:P ratio,0.700330066,0.700330066
Pseudoalteromonas sp (26),0.1,S:P ratio,0.498274517,0.498274517
Pseudoalteromonas sp (26),0.1,S:P ratio,1.491799817,1.491799817
Pseudoalteromonas sp (26),2,S:P ratio,0.727755074,0.727755074
Pseudoalteromonas sp (26),2,S:P ratio,0.331787837,0.331787837
Pseudoalteromonas sp (26),2,S:P ratio,0.538735252,0.538735252
Pseudoalteromonas sp (26),2,S:P ratio,0.446392419,0.446392419
Pseudoalteromonas sp (26),10,S:P ratio,0.584181442,0.584181442
Pseudoalteromonas sp (26),10,S:P ratio,0.799704823,0.799704823
Pseudoalteromonas sp (26),10,S:P ratio,0.428971276,0.428971276
Pseudoalteromonas sp (26),10,S:P ratio,0.585520369,0.585520369
Pseudoalteromonas sp (26),50,S:P ratio,0.415920771,0.415920771
Pseudoalteromonas sp (26),50,S:P ratio,0.388560337,0.388560337
Pseudoalteromonas sp (P2),0.1,S:P ratio,0.432217269,0.432217269
Pseudoalteromonas sp (P2),0.1,S:P ratio,0.469022441,0.469022441
Pseudoalteromonas sp (P2),0.1,S:P ratio,0.356337607,0.356337607
Pseudoalteromonas sp (P2),0.1,S:P ratio,NA,NA
Pseudoalteromonas sp (P2),10,S:P ratio,0.37197648,0.37197648
Pseudoalteromonas sp (P2),10,S:P ratio,0.474677602,0.474677602
Pseudoalteromonas sp (P2),10,S:P ratio,0.33606846,0.33606846
Pseudoalteromonas sp (P2),25,S:P ratio,0.561052808,0.561052808
Pseudoalteromonas sp (P2),25,S:P ratio,0.389133243,0.389133243
Pseudoalteromonas sp (P2),25,S:P ratio,0.401572463,0.401572463
Pseudoalteromonas sp (P2),25,S:P ratio,NA,NA
