"","Strain","Cu_level","Bio_rep","Cellular_C","Cellular_N","Cells","Phosph","Sulfur","Copper","Iron","Zinc","Manganese","Cobalt","Cu_P","Fe_P","Zn_P","Mn_P","Co_P","Cellular_P","Cellular_S","Cellular_Cu","Cellular_Fe","Cellular_Zn","Cellular_Mn","Cellular_Co","Cu_C","Fe_C","Zn_C","Mn_C","Co_C","C_P","N_P","S_P","P_C","N_C","S_C"
"40","PAlt_P26",0.6,"R1",3.12e-14,7.03e-15,5.9e+08,2.99e-07,1.05e-07,2.71e-08,4.17e-07,2.56e-07,1.29e-09,3.35e-09,0.090635452,1.394648829,0.856187291,0.004314381,0.011204013,5.07e-16,1.78e-16,4.59e-20,7.07e-19,4.34e-19,2.19e-21,5.68e-21,1.472186006,22.65319426,13.90699696,0.070078227,0.181986093,61.5384615384615,13.8658777120316,0.351084812623274,0.01625,0.225320512820513,0.0057051282051282
"41","PAlt_P26",0.6,"R2",3.28e-14,7.44e-15,2.77e+08,1.33e-07,9.35e-08,4.35e-09,3.32e-07,1.96e-07,4.5e-10,4.09e-09,0.032706767,2.496240602,1.473684211,0.003383459,0.03075188,4.8e-16,3.38e-16,1.57e-20,1.2e-18,7.08e-19,1.62e-21,1.48e-20,0.478779607,36.54134014,21.5725984,0.049528925,0.450162895,68.3333333333333,15.5,0.704166666666667,0.0146341463414634,0.226829268292683,0.0103048780487805
"42","PAlt_P26",0.6,"R3",2.07e-14,6.94e-15,3.81e+08,2.6e-07,1.3e-07,1.77e-08,4.97e-07,4.06e-07,2.17e-09,3.94e-09,0.068076923,1.911538462,1.561538462,0.008346154,0.015153846,6.82e-16,3.41e-16,4.65e-20,1.3e-18,1.07e-18,5.7e-21,1.03e-20,2.244284682,63.01748513,51.47907236,0.275146766,0.499575234,30.3519061583578,10.1759530791789,0.5,0.0329468599033816,0.335265700483092,0.0164734299516908
"43","PAlt_P26",0.6,"R4",NA,NA,NA,2.2e-07,3.29e-07,1.07e-08,8.25e-07,5.54e-07,9.19e-10,1.62e-08,0.048636364,3.75,2.518181818,0.004177273,0.073636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","PAlt_P26",2,"R1",2.48e-14,4.46e-15,2.85e+08,1.16e-07,8.41e-08,8.81e-09,2.8e-07,3.66e-07,1.49e-08,1.46e-09,0.075948276,2.413793103,3.155172414,0.128448276,0.012586207,4.07e-16,2.95e-16,3.09e-20,9.82e-19,1.28e-18,5.23e-20,5.12e-21,1.246462932,39.61516695,51.78268251,2.108092813,0.206564799,60.9336609336609,10.958230958231,0.724815724815725,0.0164112903225806,0.179838709677419,0.0118951612903226
"45","PAlt_P26",2,"R2",2.87e-14,7.21e-15,5.53e+08,3.21e-07,1.07e-07,7.46e-09,6.41e-07,4.64e-07,1.39e-08,1.9e-09,0.023239875,1.996884735,1.445482866,0.043302181,0.005919003,5.8e-16,1.93e-16,1.35e-20,1.16e-18,8.39e-19,2.51e-20,3.44e-21,0.470036733,40.38787482,29.23552873,0.87580571,0.11971445,49.4827586206897,12.4310344827586,0.332758620689655,0.0202090592334495,0.251219512195122,0.00672473867595819
"46","PAlt_P26",2,"R3",3.19e-14,7.78e-15,4.52e+08,3.28e-07,1.77e-07,1.98e-08,6.72e-07,4.31e-07,1.16e-08,1.9e-09,0.060365854,2.048780488,1.31402439,0.035365854,0.005792683,7.26e-16,3.92e-16,4.38e-20,1.49e-18,9.54e-19,2.57e-20,4.2e-21,1.373207202,46.60582018,29.8915305,0.804505229,0.131772408,43.9393939393939,10.7162534435262,0.539944903581267,0.0227586206896552,0.243887147335423,0.0122884012539185
"47","PAlt_P26",2,"R4",NA,NA,NA,2.61e-07,1.17e-07,1.06e-08,5.43e-07,6e-07,1.05e-08,1.75e-09,0.040613027,2.08045977,2.298850575,0.040229885,0.006704981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","PAlt_P26",10,"R1",5.88e-14,1.31e-14,6.66e+08,2.3e-07,1.34e-07,1.22e-08,4.84e-07,2.17e-07,7.57e-09,1.51e-09,0.053043478,2.104347826,0.943478261,0.032913043,0.006565217,3.45e-16,2.01e-16,1.83e-20,7.27e-19,3.26e-19,1.14e-20,2.27e-21,0.311536026,12.35929807,5.541255541,0.19330555,0.038558967,170.434782608696,37.9710144927536,0.582608695652174,0.00586734693877551,0.222789115646259,0.00341836734693878
"49","PAlt_P26",10,"R2",2.8e-14,7.58e-15,4.56e+08,9.67e-08,7.73e-08,9.45e-09,2.65e-07,8.87e-08,1.93e-10,1.08e-09,0.097724922,2.740434333,0.917269907,0.001995863,0.011168563,2.12e-16,1.7e-16,2.07e-20,5.81e-19,1.95e-19,4.23e-22,2.37e-21,0.740131579,20.75501253,6.947055138,0.015115915,0.084586466,132.075471698113,35.7547169811321,0.80188679245283,0.00757142857142857,0.270714285714286,0.00607142857142857
"50","PAlt_P26",10,"R3",3.07e-14,7.48e-15,7.15e+08,4.02e-07,1.72e-07,7.72e-09,9.62e-07,4.58e-07,5.7e-09,3.15e-09,0.01920398,2.393034826,1.139303483,0.014179104,0.007835821,5.62e-16,2.41e-16,1.08e-20,1.35e-18,6.41e-19,7.97e-21,4.41e-21,0.351700417,43.82588096,20.86512836,0.259675178,0.143504704,54.626334519573,13.3096085409253,0.428825622775801,0.0183061889250814,0.243648208469055,0.00785016286644951
"51","PAlt_P26",50,"R1",2.04e-14,5.08e-15,NA,2.55e-07,1.49e-07,1.07e-08,3.97e-07,8.78e-08,1.83e-09,3.04e-09,0.041960784,1.556862745,0.344313725,0.007176471,0.011921569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249019607843137,NA
"52","PAlt_P26",50,"R2",2.96e-14,7.19e-15,9.94e+08,5.25e-07,2.18e-07,2.15e-08,1.22e-06,2.63e-07,6.39e-09,3.49e-09,0.040952381,2.323809524,0.500952381,0.012171429,0.006647619,5.28e-16,2.19e-16,2.16e-20,1.23e-18,2.65e-19,6.43e-21,3.51e-21,0.730735766,41.46500625,8.938767742,0.217181467,0.118617108,56.0606060606061,13.6174242424242,0.414772727272727,0.0178378378378378,0.242905405405405,0.00739864864864865
"53","PAlt_P26",50,"R3",2.26e-14,5.88e-15,1.07e+09,5.21e-07,2.02e-07,1.48e-08,1.03e-06,2.57e-07,2.42e-09,3.01e-09,0.02840691,1.97696737,0.49328215,0.004644914,0.005777351,4.87e-16,1.89e-16,1.38e-20,9.63e-19,2.4e-19,2.26e-21,2.81e-21,0.612025473,42.59366471,10.62773964,0.100074436,0.124472748,46.4065708418891,12.0739219712526,0.388090349075975,0.0215486725663717,0.260176991150442,0.00836283185840708
